Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene stable ID,Gene name,Strand
MT,577,647,ENSG00000210049,MT-TF,1
MT,648,1601,ENSG00000211459,MT-RNR1,1
MT,1602,1670,ENSG00000210077,MT-TV,1
MT,1671,3229,ENSG00000210082,MT-RNR2,1
MT,3230,3304,ENSG00000209082,MT-TL1,1
MT,3307,4262,ENSG00000198888,MT-ND1,1
MT,4263,4331,ENSG00000210100,MT-TI,1
MT,4329,4400,ENSG00000210107,MT-TQ,-1
MT,4402,4469,ENSG00000210112,MT-TM,1
MT,4470,5511,ENSG00000198763,MT-ND2,1
MT,5512,5579,ENSG00000210117,MT-TW,1
MT,5587,5655,ENSG00000210127,MT-TA,-1
MT,5657,5729,ENSG00000210135,MT-TN,-1
MT,5761,5826,ENSG00000210140,MT-TC,-1
MT,5826,5891,ENSG00000210144,MT-TY,-1
MT,5904,7445,ENSG00000198804,MT-CO1,1
MT,7446,7514,ENSG00000210151,MT-TS1,-1
MT,7518,7585,ENSG00000210154,MT-TD,1
MT,7586,8269,ENSG00000198712,MT-CO2,1
MT,8295,8364,ENSG00000210156,MT-TK,1
MT,8366,8572,ENSG00000228253,MT-ATP8,1
MT,8527,9207,ENSG00000198899,MT-ATP6,1
MT,9207,9990,ENSG00000198938,MT-CO3,1
MT,9991,10058,ENSG00000210164,MT-TG,1
MT,10059,10404,ENSG00000198840,MT-ND3,1
MT,10405,10469,ENSG00000210174,MT-TR,1
MT,10470,10766,ENSG00000212907,MT-ND4L,1
MT,10760,12137,ENSG00000198886,MT-ND4,1
MT,12138,12206,ENSG00000210176,MT-TH,1
MT,12207,12265,ENSG00000210184,MT-TS2,1
MT,12266,12336,ENSG00000210191,MT-TL2,1
MT,12337,14148,ENSG00000198786,MT-ND5,1
MT,14149,14673,ENSG00000198695,MT-ND6,-1
MT,14674,14742,ENSG00000210194,MT-TE,-1
MT,14747,15887,ENSG00000198727,MT-CYB,1
MT,15888,15953,ENSG00000210195,MT-TT,1
MT,15956,16023,ENSG00000210196,MT-TP,-1
KI270442.1,380608,380726,ENSG00000278457,5S_rRNA,1
GL000220.1,105287,105376,ENSG00000276197,,1
KI270744.1,51009,51114,ENSG00000278625,U6,-1
KI270711.1,4612,29626,ENSG00000271254,,-1
KI270731.1,10598,13001,ENSG00000278633,,-1
GL000213.1,108007,139659,ENSG00000277630,,-1
KI270734.1,59711,60316,ENSG00000278573,,1
KI270442.1,217250,217401,ENSG00000278294,5_8S_rRNA,-1
GL000220.1,112025,112177,ENSG00000274917,RNA5-8SN5,1
KI270731.1,26533,27138,ENSG00000278066,,-1
GL000220.1,155997,156149,ENSG00000273730,5_8S_rRNA,1
KI270734.1,138082,161852,ENSG00000277196,,-1
GL000220.1,149259,149348,ENSG00000273937,,1
GL000213.1,127840,127946,ENSG00000278793,U6,-1
KI270734.1,131494,137392,ENSG00000278817,,1
KI270734.1,72411,74814,ENSG00000276017,,1
GL000216.2,93197,93309,ENSG00000274202,U2,-1
KI270713.1,30437,30580,ENSG00000275987,U1,-1
KI270713.1,35407,35916,ENSG00000268674,,1
KI270721.1,52895,53010,ENSG00000275661,,1
